year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,4,30,801.0,1.0,1757.0,90.0,AS,N407AS,18,SEA,MCO,342.0,2554,8.0,1.0
2014,11,29,905.0,155.0,1655.0,170.0,DL,N824DN,1598,SEA,ATL,229.0,2182,9.0,5.0
2014,7,25,948.0,-2.0,1229.0,-10.0,OO,N223AG,3492,PDX,SLC,85.0,630,9.0,48.0
2014,8,30,2004.0,26.0,2325.0,22.0,F9,N204FR,794,PDX,DEN,120.0,991,20.0,4.0
2014,6,2,2222.0,7.0,55.0,15.0,AS,N402AS,99,SEA,ANC,190.0,1448,22.0,22.0
2014,11,15,1034.0,-6.0,1414.0,-26.0,AS,N589AS,794,SEA,ABQ,139.0,1180,10.0,34.0
2014,11,15,1858.0,8.0,2107.0,2.0,AS,N587AS,616,SEA,LAS,106.0,867,18.0,58.0
2014,10,20,1328.0,-1.0,1949.0,4.0,UA,N68805,1212,SEA,IAH,228.0,1874,13.0,28.0
2014,10,23,2102.0,-3.0,2258.0,5.0,OO,N969SW,5189,PDX,SFO,93.0,550,21.0,2.0
2014,12,16,1500.0,0.0,1906.0,19.0,US,N662AW,500,SEA,PHX,151.0,1107,15.0,0.0
2014,11,19,1319.0,-6.0,1821.0,-14.0,DL,N309US,2164,PDX,MSP,169.0,1426,13.0,19.0
2014,5,21,515.0,0.0,757.0,0.0,US,N172US,593,SEA,PHX,143.0,1107,5.0,15.0
2014,9,3,900.0,-5.0,1136.0,-1.0,US,N579UW,630,PDX,PHX,138.0,1009,9.0,0.0
2014,7,26,1058.0,-2.0,1407.0,12.0,AS,N315AS,648,SEA,TUS,174.0,1216,10.0,58.0
2014,9,29,1003.0,58.0,1222.0,45.0,US,N157UW,630,PDX,PHX,125.0,1009,10.0,3.0
2014,6,11,750.0,-10.0,1009.0,-11.0,AS,N799AS,568,PDX,LAX,118.0,834,7.0,50.0
2014,3,13,2201.0,1.0,554.0,-14.0,UA,N37468,1275,SEA,EWR,268.0,2402,22.0,1.0
2014,8,8,2011.0,11.0,2216.0,11.0,AS,N565AS,326,SEA,SJC,104.0,697,20.0,11.0
2014,9,4,830.0,-5.0,1647.0,-23.0,AS,N583AS,12,SEA,BOS,285.0,2496,8.0,30.0
2014,9,15,1025.0,-5.0,1259.0,-5.0,AS,N585AS,85,SEA,ANC,181.0,1448,10.0,25.0
2014,6,13,2233.0,53.0,2359.0,38.0,AS,N577AS,372,SEA,SMF,68.0,605,22.0,33.0
2014,5,2,1253.0,-2.0,1452.0,-3.0,AS,N516AS,324,SEA,SJC,107.0,697,12.0,53.0
2014,12,9,936.0,-14.0,1215.0,-25.0,OO,N225AG,3492,PDX,SLC,82.0,630,9.0,36.0
2014,5,22,1018.0,-3.0,1621.0,1.0,UA,N559UA,732,PDX,ORD,211.0,1739,10.0,18.0
2014,3,20,1200.0,-8.0,1239.0,-7.0,OO,N569SW,5411,PDX,EUG,30.0,106,12.0,0.0
2014,7,13,2125.0,-5.0,2216.0,-8.0,AS,N315AS,694,SEA,GEG,37.0,224,21.0,25.0
2014,1,15,808.0,-2.0,1011.0,1.0,WN,N364SW,207,SEA,OAK,104.0,672,8.0,8.0
2014,10,12,1836.0,-4.0,2200.0,-15.0,OO,N219AG,3498,SEA,COS,123.0,1068,18.0,36.0
2014,2,18,554.0,-1.0,1151.0,-19.0,UA,N37419,1445,SEA,IAH,203.0,1874,5.0,54.0
2014,12,11,1057.0,87.0,1315.0,112.0,OO,N918SW,6328,PDX,SFO,118.0,550,10.0,57.0
2014,7,5,2224.0,-1.0,48.0,-20.0,AS,N459AS,143,PDX,ANC,185.0,1542,22.0,24.0
2014,5,16,746.0,-4.0,1021.0,-12.0,AS,N622AS,634,SEA,PHX,135.0,1107,7.0,46.0
2014,11,19,601.0,1.0,1129.0,-16.0,AA,N4YJAA,1534,PDX,DFW,189.0,1616,6.0,1.0
2014,3,19,1750.0,5.0,2027.0,-5.0,US,N640AW,496,SEA,PHX,137.0,1107,17.0,50.0
2014,7,7,602.0,2.0,806.0,5.0,AS,N453AS,200,SEA,SJC,104.0,697,6.0,2.0
2014,12,17,2234.0,223.0,11.0,212.0,UA,N39450,1596,PDX,SFO,76.0,550,22.0,34.0
2014,5,12,1424.0,-6.0,1631.0,-5.0,AS,N532AS,316,SEA,SFO,95.0,679,14.0,24.0
2014,8,16,1217.0,-7.0,1356.0,-28.0,UA,N34282,1574,PDX,SFO,84.0,550,12.0,17.0
2014,4,6,1844.0,-6.0,2104.0,-26.0,AS,N409AS,630,SEA,PHX,124.0,1107,18.0,44.0
2014,4,1,1010.0,-5.0,1258.0,-17.0,HA,N381HA,25,PDX,HNL,328.0,2603,10.0,10.0
2014,3,20,704.0,4.0,1033.0,-2.0,WN,N650SW,397,PDX,ABQ,133.0,1111,7.0,4.0
2014,1,22,1528.0,-9.0,1851.0,-14.0,F9,N941FR,148,SEA,DEN,129.0,1024,15.0,28.0
2014,9,28,2041.0,-9.0,2251.0,-7.0,AS,N552AS,624,PDX,LAS,106.0,763,20.0,41.0
2014,2,14,2002.0,2.0,2056.0,1.0,AS,N788AS,694,SEA,GEG,38.0,224,20.0,2.0
2014,4,25,1049.0,-6.0,1326.0,-4.0,VX,N853VA,784,SEA,LAX,133.0,954,10.0,49.0
2014,7,25,739.0,-1.0,1020.0,-5.0,AS,N442AS,634,SEA,PHX,139.0,1107,7.0,39.0
2014,8,25,711.0,-4.0,843.0,-27.0,WN,N244WN,159,PDX,SJC,77.0,569,7.0,11.0
2014,12,26,2337.0,0.0,741.0,-1.0,DL,N3760C,1358,PDX,JFK,274.0,2454,23.0,37.0
2014,11,25,559.0,-11.0,914.0,-27.0,F9,N208FR,144,SEA,DEN,112.0,1024,5.0,59.0
2014,7,14,2009.0,44.0,2336.0,31.0,WN,N468WN,1918,SEA,DEN,122.0,1024,20.0,9.0
2014,7,1,1959.0,-6.0,2224.0,-17.0,DL,N6701,1545,SEA,FAI,180.0,1533,19.0,59.0
2014,6,29,1347.0,3.0,2016.0,14.0,UA,N848UA,475,SEA,IAH,215.0,1874,13.0,47.0
2014,8,23,831.0,-4.0,1639.0,-3.0,AS,N435AS,32,SEA,PHL,285.0,2378,8.0,31.0
2014,6,27,934.0,4.0,1139.0,9.0,AS,N794AS,330,SEA,SJC,105.0,697,9.0,34.0
2014,1,6,758.0,-2.0,1030.0,-19.0,AS,N614AS,83,SEA,ANC,193.0,1448,7.0,58.0
2014,4,23,1650.0,9.0,1924.0,2.0,DL,N814DN,1194,PDX,SLC,80.0,630,16.0,50.0
2014,7,27,1020.0,-5.0,1251.0,2.0,AS,N587AS,586,SEA,LAS,130.0,867,10.0,20.0
2014,1,11,716.0,-4.0,1059.0,-9.0,AS,N581AS,642,SEA,PHX,142.0,1107,7.0,16.0
2014,10,15,2244.0,5.0,607.0,3.0,DL,N816DN,2497,PDX,ATL,233.0,2172,22.0,44.0
2014,8,6,735.0,-5.0,829.0,-18.0,AS,N703AS,65,SEA,KTN,98.0,680,7.0,35.0
2014,4,12,1248.0,-2.0,1836.0,-14.0,UA,N435UA,464,PDX,ORD,212.0,1739,12.0,48.0
2014,12,1,2210.0,0.0,124.0,11.0,AS,N538AS,143,PDX,ANC,225.0,1542,22.0,10.0
2014,4,30,835.0,-5.0,1040.0,-9.0,AS,N705AS,382,SEA,SFO,101.0,679,8.0,35.0
2014,8,15,1113.0,-7.0,1355.0,-18.0,AS,N614AS,656,SEA,PHX,140.0,1107,11.0,13.0
2014,7,28,1047.0,-8.0,1921.0,11.0,DL,N713TW,1473,SEA,JFK,269.0,2422,10.0,47.0
2014,7,27,925.0,25.0,1232.0,27.0,AS,N513AS,875,SEA,LIH,343.0,2701,9.0,25.0
2014,5,15,2001.0,0.0,2041.0,1.0,OO,N562SW,5340,PDX,RDM,29.0,116,20.0,1.0
2014,9,12,1552.0,2.0,1821.0,-3.0,AS,N557AS,448,SEA,LAX,130.0,954,15.0,52.0
2014,7,23,957.0,12.0,1215.0,-10.0,AS,N703AS,131,PDX,ANC,188.0,1542,9.0,57.0
2014,10,14,1831.0,-9.0,2202.0,-13.0,OO,N218AG,3498,SEA,COS,132.0,1068,18.0,31.0
2014,7,18,541.0,1.0,911.0,-1.0,UA,N16234,1578,SEA,DEN,131.0,1024,5.0,41.0
2014,4,3,550.0,0.0,1141.0,-14.0,UA,N483UA,655,PDX,IAH,215.0,1825,5.0,50.0
2014,2,17,901.0,-4.0,1505.0,6.0,UA,N407UA,714,PDX,ORD,197.0,1739,9.0,1.0
2014,7,8,1301.0,14.0,1458.0,-3.0,UA,N441UA,816,SEA,SFO,103.0,679,13.0,1.0
2014,3,14,1808.0,8.0,1936.0,-9.0,WN,N968WN,258,PDX,OAK,74.0,543,18.0,8.0
2014,7,14,2110.0,15.0,2328.0,4.0,AS,N320AS,731,SEA,ANC,184.0,1448,21.0,10.0
2014,7,31,1223.0,8.0,1448.0,2.0,DL,N3769L,2436,SEA,ANC,190.0,1448,12.0,23.0
2014,8,6,1223.0,-2.0,1421.0,-14.0,OO,N224AG,3470,PDX,SBA,103.0,784,12.0,23.0
2014,7,15,1803.0,14.0,2354.0,-5.0,UA,N803UA,463,SEA,IAH,215.0,1874,18.0,3.0
2014,8,3,653.0,-7.0,920.0,-6.0,AS,N612AS,582,PDX,SNA,133.0,859,6.0,53.0
2014,3,10,2222.0,-13.0,55.0,-30.0,AS,N431AS,143,PDX,ANC,203.0,1542,22.0,22.0
2014,6,15,1840.0,0.0,2126.0,-4.0,WN,N498WN,492,SEA,SLC,90.0,689,18.0,40.0
2014,3,20,1452.0,48.0,2039.0,22.0,UA,N406UA,326,SEA,IAH,207.0,1874,14.0,52.0
2014,4,6,1329.0,4.0,2159.0,,DL,N130DL,1929,SEA,ATL,,2182,13.0,29.0
2014,7,29,1.0,2.0,600.0,6.0,UA,N458UA,280,PDX,IAH,217.0,1825,0.0,1.0
2014,7,17,2003.0,-2.0,2246.0,6.0,VX,N624VA,798,SEA,LAX,124.0,954,20.0,3.0
2014,10,29,1730.0,-5.0,2003.0,-16.0,DL,N3764D,952,PDX,SLC,77.0,630,17.0,30.0
2014,4,29,1610.0,60.0,1928.0,50.0,UA,N36207,1072,PDX,DEN,123.0,991,16.0,10.0
2014,6,17,1815.0,10.0,2017.0,-3.0,OO,N216AG,3462,PDX,ONT,105.0,838,18.0,15.0
2014,5,31,1342.0,-2.0,1434.0,-1.0,OO,N582SW,5423,PDX,SEA,32.0,129,13.0,42.0
2014,12,13,656.0,-4.0,858.0,-19.0,B6,N644JB,1121,PDX,LGB,102.0,846,6.0,56.0
2014,8,16,853.0,3.0,1709.0,-21.0,AS,N597AS,774,SEA,TPA,294.0,2520,8.0,53.0
2014,8,18,2116.0,-4.0,541.0,18.0,B6,N536JB,264,SEA,JFK,304.0,2422,21.0,16.0
2014,8,11,2233.0,33.0,45.0,17.0,DL,N391DA,1086,SEA,ANC,174.0,1448,22.0,33.0
2014,5,12,1749.0,-8.0,1948.0,-16.0,UA,N831UA,587,SEA,SFO,99.0,679,17.0,49.0
2014,3,14,1029.0,-6.0,1615.0,-15.0,AS,N323AS,686,PDX,ORD,199.0,1739,10.0,29.0
2014,11,24,1204.0,24.0,1338.0,18.0,WN,N703SW,2342,PDX,SJC,77.0,569,12.0,4.0
2014,10,2,1010.0,0.0,1345.0,13.0,F9,N918FR,788,PDX,DEN,120.0,991,10.0,10.0
2014,2,9,837.0,7.0,1205.0,-11.0,US,N626AW,471,SEA,PHX,129.0,1107,8.0,37.0
2014,4,24,1122.0,-3.0,1407.0,2.0,AS,N778AS,656,SEA,PHX,144.0,1107,11.0,22.0
2014,6,14,1623.0,-7.0,2149.0,-26.0,AA,N3EKAA,1181,SEA,DFW,191.0,1660,16.0,23.0
2014,7,9,554.0,-6.0,746.0,4.0,AS,N565AS,406,PDX,SJC,92.0,569,5.0,54.0
2014,8,18,1559.0,-1.0,1649.0,-3.0,OO,N824SK,4500,PDX,SEA,27.0,129,15.0,59.0
2014,5,7,2228.0,-2.0,2333.0,-5.0,OO,N295SW,5437,PDX,LMT,51.0,241,22.0,28.0
2014,10,1,1717.0,-8.0,1819.0,4.0,OO,N810SK,4546,SEA,PDX,28.0,129,17.0,17.0
2014,9,20,601.0,1.0,938.0,-2.0,WN,N8648A,1421,SEA,DEN,131.0,1024,6.0,1.0
2014,3,13,1319.0,-6.0,1435.0,-15.0,WN,N607SW,3573,PDX,SMF,65.0,479,13.0,19.0
2014,3,17,26.0,-4.0,518.0,-19.0,DL,N539US,2446,SEA,MSP,153.0,1399,0.0,26.0
2014,9,10,1308.0,-2.0,2109.0,2.0,US,N558UW,1857,SEA,CLT,271.0,2279,13.0,8.0
2014,10,2,658.0,-2.0,848.0,-22.0,VX,N521VA,751,SEA,SFO,96.0,679,6.0,58.0
2014,11,3,840.0,0.0,1703.0,-17.0,AS,N462AS,38,SEA,FLL,307.0,2717,8.0,40.0
2014,12,28,923.0,3.0,1237.0,-18.0,WN,N8629A,2195,SEA,DEN,117.0,1024,9.0,23.0
2014,8,23,1749.0,-1.0,1923.0,-12.0,WN,N462WN,1494,SEA,SMF,81.0,605,17.0,49.0
2014,8,19,1833.0,-7.0,2217.0,2.0,OO,N219AG,3498,SEA,COS,140.0,1068,18.0,33.0
2014,4,25,628.0,-2.0,856.0,7.0,AS,N433AS,558,PDX,LAX,124.0,834,6.0,28.0
2014,4,18,833.0,-7.0,1054.0,5.0,AS,N778AS,382,SEA,SFO,100.0,679,8.0,33.0
2014,6,27,46.0,1.0,552.0,-1.0,DL,N126DL,2440,SEA,MSP,166.0,1399,0.0,46.0
2014,9,23,900.0,-5.0,1124.0,-13.0,US,N553UW,630,PDX,PHX,126.0,1009,9.0,0.0
2014,5,11,1039.0,-7.0,1236.0,-23.0,UA,N820UA,698,SEA,SFO,92.0,679,10.0,39.0
2014,11,28,1852.0,-5.0,2035.0,-10.0,UA,N409UA,995,PDX,SFO,92.0,550,18.0,52.0
2014,5,5,711.0,-1.0,1320.0,1.0,UA,N442UA,229,SEA,IAH,227.0,1874,7.0,11.0
2014,8,20,933.0,-1.0,1645.0,5.0,DL,N585NW,1350,SEA,DTW,227.0,1927,9.0,33.0
2014,5,5,909.0,-6.0,1151.0,6.0,AS,N615AS,554,SEA,PSP,142.0,987,9.0,9.0
2014,8,18,2055.0,0.0,2327.0,1.0,AS,N464AS,534,SEA,ONT,129.0,956,20.0,55.0
2014,6,22,1233.0,-7.0,2049.0,-11.0,B6,N632JB,464,SEA,JFK,297.0,2422,12.0,33.0
2014,7,6,811.0,1.0,1550.0,-20.0,AS,N587AS,4,SEA,DCA,263.0,2329,8.0,11.0
2014,1,21,633.0,8.0,957.0,-3.0,WN,N794SW,1631,SEA,DEN,118.0,1024,6.0,33.0
2014,6,26,1856.0,1.0,2118.0,-11.0,AS,N579AS,133,SEA,FAI,182.0,1533,18.0,56.0
2014,10,5,1201.0,16.0,1402.0,9.0,AS,N786AS,306,SEA,SFO,96.0,679,12.0,1.0
2014,1,28,648.0,-2.0,808.0,-7.0,WN,N235WN,1181,PDX,SMF,69.0,479,6.0,48.0
2014,4,9,1204.0,4.0,1400.0,0.0,WN,N658SW,3864,SEA,OAK,100.0,671,12.0,4.0
2014,10,9,540.0,-5.0,1153.0,-7.0,UA,N415UA,428,SEA,IAH,222.0,1874,5.0,40.0
2014,7,28,1325.0,-5.0,1606.0,-5.0,OO,N217AG,3476,SEA,LGB,143.0,965,13.0,25.0
2014,3,3,647.0,-3.0,1007.0,-12.0,AS,N527AS,682,SEA,DEN,119.0,1024,6.0,47.0
2014,3,18,1832.0,-3.0,2039.0,-15.0,AS,N320AS,616,SEA,LAS,112.0,867,18.0,32.0
2014,12,1,643.0,-7.0,905.0,-5.0,AS,N626AS,582,PDX,SNA,126.0,859,6.0,43.0
2014,6,28,1829.0,-1.0,2023.0,-17.0,WN,N453WN,2593,PDX,LAS,102.0,763,18.0,29.0
2014,11,20,733.0,38.0,912.0,27.0,WN,N209WN,476,SEA,SMF,82.0,605,7.0,33.0
2014,4,27,1857.0,42.0,2055.0,40.0,WN,N7744A,661,SEA,OAK,94.0,671,18.0,57.0
2014,8,12,1151.0,6.0,1746.0,4.0,AS,N467AS,670,SEA,AUS,219.0,1770,11.0,51.0
2014,7,1,709.0,9.0,1528.0,13.0,DL,N713TW,2115,SEA,JFK,284.0,2422,7.0,9.0
2014,10,16,1948.0,-7.0,2130.0,-2.0,AS,N588AS,404,PDX,SJC,85.0,569,19.0,48.0
2014,7,11,721.0,-4.0,1007.0,2.0,AS,N556AS,240,SEA,SAN,147.0,1050,7.0,21.0
2014,7,5,1647.0,22.0,1848.0,18.0,WN,N358SW,4784,SEA,OAK,100.0,671,16.0,47.0
2014,3,22,1311.0,1.0,1840.0,-14.0,AS,N318AS,664,SEA,DFW,190.0,1660,13.0,11.0
2014,7,18,1120.0,-4.0,1453.0,-5.0,OO,N932EV,5576,PDX,DEN,129.0,991,11.0,20.0
2014,7,5,1350.0,-5.0,1855.0,-14.0,DL,N960DN,2164,PDX,MSP,169.0,1426,13.0,50.0
2014,10,8,1909.0,-6.0,2137.0,1.0,OO,N806SK,4536,SEA,LAS,118.0,867,19.0,9.0
2014,9,22,1037.0,-3.0,1219.0,-6.0,WN,N756SA,3129,PDX,SJC,89.0,569,10.0,37.0
2014,7,9,1521.0,-2.0,1600.0,-7.0,OO,N295SW,5403,PDX,RDM,28.0,116,15.0,21.0
2014,5,30,1407.0,-3.0,1635.0,8.0,AS,N594AS,606,SEA,LAS,127.0,867,14.0,7.0
2014,6,22,1315.0,-2.0,1848.0,18.0,DL,N138DL,198,SEA,MSP,171.0,1399,13.0,15.0
2014,8,19,1347.0,-3.0,2134.0,-15.0,AS,N566AS,2,SEA,DCA,264.0,2329,13.0,47.0
2014,3,31,1057.0,-3.0,1339.0,-16.0,WN,N621SW,168,SEA,SLC,90.0,689,10.0,57.0
2014,1,28,1503.0,-2.0,1708.0,-14.0,AS,N559AS,528,SEA,BUR,114.0,937,15.0,3.0
2014,4,3,2108.0,13.0,2246.0,6.0,WN,N779SW,1216,SEA,SMF,82.0,605,21.0,8.0
2014,6,16,655.0,-10.0,912.0,-12.0,B6,N552JB,1121,PDX,LGB,112.0,846,6.0,55.0
2014,3,7,654.0,4.0,1039.0,20.0,AS,N524AS,682,SEA,DEN,137.0,1024,6.0,54.0
2014,8,18,2311.0,-4.0,2348.0,-5.0,AS,N586AS,410,SEA,BLI,20.0,93,23.0,11.0
2014,9,2,705.0,-5.0,950.0,-15.0,AS,N442AS,833,PDX,HNL,326.0,2603,7.0,5.0
2014,1,26,1445.0,0.0,1732.0,-3.0,WN,N600WN,988,SEA,SLC,92.0,689,14.0,45.0
2014,5,18,826.0,-4.0,1428.0,-2.0,AA,N3DRAA,1236,SEA,ORD,204.0,1721,8.0,26.0
2014,12,28,1705.0,-10.0,2046.0,-42.0,AS,N517AS,863,PDX,OGG,324.0,2562,17.0,5.0
2014,4,11,957.0,-3.0,1317.0,-13.0,WN,N731SA,761,PDX,DEN,124.0,991,9.0,57.0
2014,8,14,1526.0,-8.0,1800.0,-5.0,OO,N962SW,6235,PDX,LAX,121.0,834,15.0,26.0
2014,3,13,1902.0,-3.0,2058.0,-12.0,WN,N785SW,1565,SEA,SJC,95.0,697,19.0,2.0
2014,7,3,2247.0,-4.0,610.0,-20.0,DL,N666DN,800,SEA,ATL,250.0,2182,22.0,47.0
2014,7,19,1038.0,4.0,1249.0,-5.0,UA,N13716,1292,SEA,SFO,107.0,679,10.0,38.0
2014,10,14,612.0,-8.0,913.0,16.0,AS,N769AS,470,SEA,SAN,156.0,1050,6.0,12.0
2014,8,31,1948.0,-7.0,2139.0,-17.0,OO,N219AG,3490,SEA,FAT,91.0,748,19.0,48.0
2014,11,13,700.0,-5.0,910.0,11.0,UA,N413UA,392,PDX,SFO,86.0,550,7.0,0.0
2014,9,26,2339.0,144.0,29.0,142.0,OO,N822SK,4612,SEA,PDX,29.0,129,23.0,39.0
2014,10,12,2125.0,-7.0,522.0,-11.0,UA,N37267,1695,SEA,EWR,275.0,2402,21.0,25.0
2014,4,10,829.0,-1.0,1128.0,-7.0,AS,N589AS,861,SEA,OGG,332.0,2640,8.0,29.0
2014,4,14,1332.0,-13.0,1556.0,-39.0,AS,N409AS,123,SEA,FAI,185.0,1533,13.0,32.0
2014,8,18,1728.0,-2.0,1822.0,0.0,OO,N586SW,5440,SEA,PDX,41.0,129,17.0,28.0
2014,3,18,2118.0,-7.0,2312.0,-14.0,AS,N548AS,356,SEA,OAK,96.0,671,21.0,18.0
2014,9,19,1212.0,-1.0,1806.0,-13.0,UA,N76514,1081,PDX,IAH,210.0,1825,12.0,12.0
2014,11,29,705.0,5.0,1042.0,57.0,DL,N3768,968,SEA,LAX,130.0,954,7.0,5.0
2014,2,23,827.0,22.0,1358.0,8.0,AA,N4YDAA,1220,PDX,DFW,183.0,1616,8.0,27.0
2014,11,17,1752.0,-3.0,1954.0,-8.0,OO,N223AG,3488,PDX,BUR,105.0,817,17.0,52.0
2014,2,4,2053.0,-7.0,2144.0,-4.0,OO,N223SW,5433,SEA,PDX,29.0,129,20.0,53.0
2014,3,4,,,,,UA,,156,SEA,DEN,,1024,,
2014,9,19,1039.0,-1.0,1335.0,-6.0,AS,N431AS,843,SEA,KOA,332.0,2688,10.0,39.0
2014,1,20,657.0,2.0,935.0,10.0,AS,N323AS,470,SEA,LAX,131.0,954,6.0,57.0
2014,6,10,936.0,1.0,1210.0,-4.0,AS,N612AS,238,SEA,SAN,140.0,1050,9.0,36.0
2014,4,19,1356.0,-4.0,1623.0,-12.0,AS,N536AS,512,SEA,SNA,132.0,978,13.0,56.0
2014,6,30,1736.0,6.0,1949.0,-12.0,OO,N805SK,4820,SEA,LAS,115.0,867,17.0,36.0
2014,9,1,1749.0,-1.0,1951.0,-9.0,OO,N215AG,3488,PDX,BUR,108.0,817,17.0,49.0
2014,9,10,1155.0,5.0,1420.0,-5.0,WN,N299WN,270,PDX,PHX,129.0,1009,11.0,55.0
2014,6,4,1753.0,74.0,2032.0,67.0,DL,N363NW,1194,PDX,SLC,87.0,630,17.0,53.0
2014,1,18,1453.0,-2.0,1603.0,4.0,AS,N706AS,67,SEA,KTN,109.0,680,14.0,53.0
2014,2,5,2249.0,-11.0,2338.0,-19.0,AS,N644AS,698,SEA,GEG,36.0,224,22.0,49.0
2014,7,20,1012.0,-8.0,1244.0,-1.0,AS,N626AS,580,PDX,SNA,129.0,859,10.0,12.0
2014,9,28,657.0,-3.0,1557.0,34.0,DL,N704X,2588,SEA,JFK,311.0,2422,6.0,57.0
2014,8,15,1844.0,-1.0,2104.0,-18.0,AS,N626AS,510,SEA,SNA,128.0,978,18.0,44.0
2014,10,13,853.0,-2.0,1217.0,16.0,AS,N517AS,879,SEA,LIH,358.0,2701,8.0,53.0
2014,11,2,911.0,6.0,1158.0,3.0,AS,N760AS,111,SEA,ANC,207.0,1448,9.0,11.0
2014,8,29,1345.0,0.0,2056.0,8.0,DL,N684DA,2424,SEA,DTW,227.0,1927,13.0,45.0
2014,5,27,1753.0,-4.0,2002.0,-2.0,UA,N440UA,587,SEA,SFO,110.0,679,17.0,53.0
2014,4,19,2214.0,-6.0,2256.0,-3.0,OO,N584SW,5440,PDX,RDM,30.0,116,22.0,14.0
2014,10,14,742.0,-8.0,1016.0,7.0,AS,N306AS,608,SEA,LAS,132.0,867,7.0,42.0
